;1
1669;30.710
1670;30.641
1671;29.886
1672;28.365
1673;24.705
1674;22.215
1675;21.261
1676;20.353
1677;19.550
1678;18.856
1679;18.258
1680;17.700
1681;17.033
1682;16.439
1683;15.943
1684;15.571
1685;15.249
1686;17.000
1687;20.317
1688;23.646
1689;27.095
1690;29.528
1691;31.197
1692;32.388
1693;33.064
1694;33.148
1695;32.672
1696;31.305
1697;26.794
1698;24.567
1699;24.089
1700;24.124
1701;23.711
1702;22.436
1703;20.680
1704;19.413
1705;18.922
1706;18.927
1707;18.970
1708;18.869
1709;18.828
1710;20.064
1711;22.324
1712;24.835
1713;27.169
1714;29.218
1715;30.793
1716;31.624
1717;31.719
1718;31.174
1719;29.897
1720;27.843
1721;25.027
1722;22.644
1723;21.210
1724;20.021
1725;18.890
1726;17.865
1727;17.010
1728;16.287
1729;15.611
1730;14.934
1731;14.329
1732;13.813
1733;13.352
1734;13.861
1735;16.570
1736;19.747
1737;22.749
1738;25.227
1739;27.212
1740;28.661
1741;29.419
1742;29.386
1743;28.570
1744;26.931
1745;23.706
1746;21.310
1747;20.259
1748;19.348
1749;18.616
1750;18.040
1751;17.495
1752;16.902
1753;16.297
1754;15.870
1755;15.542
1756;15.219
1757;14.852
1758;15.419
1759;17.954
1760;21.168
1761;24.163
1762;26.750
1763;28.705
1764;30.069
1765;30.747
1766;30.640
1767;29.782
1768;28.031
1769;25.018
1770;22.485
1771;21.122
1772;20.131
1773;19.216
1774;18.287
1775;17.451
1776;16.812
1777;16.323
1778;15.872
1779;15.423
1780;14.949
1781;14.445
1782;14.993
1783;17.864
1784;21.242
1785;24.008
1786;26.263
1787;28.093
1788;29.432
1789;30.188
1790;30.227
1791;29.479
1792;27.794
1793;24.860
1794;22.444
1795;21.201
1796;20.232
1797;19.304
1798;18.352
1799;17.457
1800;16.697
1801;16.080
1802;15.521
1803;14.959
1804;14.419
1805;13.909
1806;14.514
1807;17.341
1808;20.609
1809;23.429
1810;25.832
1811;27.901
1812;29.544
1813;30.651
1814;31.023
1815;30.748
1816;29.515
1817;26.001
1818;23.843
1819;22.411
1820;21.111
1821;19.935
1822;19.092
1823;18.649
1824;18.466
1825;18.334
1826;18.027
1827;17.477
1828;16.936
1829;16.399
1830;17.118
1831;19.484
1832;22.146
1833;24.853
1834;26.892
1835;28.754
1836;30.105
1837;30.866
1838;31.251
1839;30.912
1840;29.468
1841;25.725
1842;23.183
1843;22.079
1844;21.275
1845;20.527
1846;19.880
1847;19.240
1848;18.563
1849;17.997
1850;17.383
1851;16.886
1852;16.565
1853;16.259
1854;17.370
1855;20.473
1856;24.378
1857;27.588
1858;29.818
1859;31.542
1860;32.776
1861;33.451
1862;33.488
1863;32.854
1864;31.540
1865;27.350
1866;24.625
1867;23.690
1868;22.886
1869;22.096
1870;21.420
1871;20.846
1872;20.209
1873;19.627
1874;19.240
1875;19.097
1876;18.938
1877;18.534
1878;19.989
1879;22.884
1880;26.280
1881;29.726
1882;32.111
1883;33.569
1884;34.595
1885;35.242
1886;35.394
1887;34.893
1888;33.634
1889;29.159
1890;26.581
1891;25.468
1892;24.488
1893;23.608
1894;22.845
1895;22.181
1896;21.632
1897;21.277
1898;20.881
1899;20.469
1900;20.147
1901;19.768
1902;21.672
1903;25.101
1904;28.194
1905;31.359
1906;33.839
1907;35.315
1908;36.175
1909;36.741
1910;36.757
1911;36.053
1912;34.749
1913;31.807
1914;30.668
1915;29.981
1916;28.740
1917;27.408
1918;25.863
1919;24.500
1920;23.215
1921;22.426
1922;21.851
1923;21.454
1924;21.122
1925;20.558
1926;22.432
1927;26.059
1928;29.240
1929;32.406
1930;35.510
1931;37.278
1932;38.248
1933;38.663
1934;38.510
1935;37.825
1936;36.357
1937;31.830
1938;29.522
1939;28.621
1940;27.850
1941;27.146
1942;26.188
1943;25.293
1944;24.769
1945;24.367
1946;24.506
1947;24.364
1948;23.861
1949;23.303
1950;24.539
1951;27.515
1952;30.727
1953;33.256
1954;35.113
1955;36.318
1956;37.094
1957;37.347
1958;37.270
1959;36.784
1960;35.606
1961;32.007
1962;29.825
1963;28.025
1964;26.512
1965;25.163
1966;23.934
1967;23.127
1968;22.735
1969;22.395
1970;21.875
1971;21.116
1972;20.456
1973;19.987
1974;20.553
1975;22.881
1976;25.549
1977;27.917
1978;30.022
1979;31.846
1980;33.094
1981;33.762
1982;33.806
1983;33.248
1984;31.954
1985;29.137
1986;26.663
1987;25.145
1988;23.667
1989;22.575
1990;21.723
1991;20.893
1992;20.107
1993;19.302
1994;18.483
1995;17.772
1996;17.193
1997;16.712
1998;17.484
1999;20.087
2000;22.948
2001;25.610
2002;27.840
2003;29.710
2004;31.150
2005;32.047
2006;32.158
2007;31.502
2008;29.991
2009;27.281
2010;24.581
2011;22.858
2012;21.627
2013;20.676
2014;19.773
2015;18.803
2016;17.854
2017;16.997
2018;16.306
2019;15.733
2020;15.190
2021;14.706
2022;15.425
2023;18.110
2024;20.970
2025;23.645
2026;26.001
2027;27.884
2028;29.258
2029;30.043
2030;30.192
2031;29.656
2032;28.434
2033;25.737
2034;23.306
2035;22.071
2036;20.936
2037;20.124
2038;19.423
2039;18.715
2040;18.071
2041;17.544
2042;17.189
2043;17.092
2044;16.885
2045;16.578
2046;17.407
2047;20.098
2048;23.155
2049;25.681
2050;27.762
2051;29.440
2052;30.593
2053;31.236
2054;31.337
2055;30.771
2056;29.501
2057;26.811
2058;23.922
2059;22.727
2060;21.711
2061;20.857
2062;20.110
2063;19.469
2064;18.988
2065;18.645
2066;18.254
2067;17.811
2068;17.487
2069;17.216
2070;18.449
2071;21.486
2072;25.230
2073;28.133
2074;30.189
2075;31.851
2076;33.072
2077;33.770
2078;33.869
2079;33.314
2080;32.117
2081;28.241
2082;25.076
2083;23.759
2084;22.718
2085;21.901
2086;21.253
2087;20.751
2088;20.353
2089;19.969
2090;19.593
2091;19.520
2092;19.254
2093;19.047
2094;21.734
2095;25.644
2096;28.712
2097;31.689
2098;34.035
2099;35.684
2100;36.643
2101;37.030
